"","LATID","GATENUM","FLOWERROR","hsd","tsd","gsd"
"1"," 10-1",1,0.650024406933622,9.15428736374646,92.3214850537094,8.46987793830279
"2"," 10-1",2,0.593316028267701,9.04724583835317,91.0470737363462,8.06607195674664
"3"," 10-2",1,0.682135073721559,4.16905237672965,49.2523073508425,4.2139867154426
"4"," 10-2",2,0.434274665824328,4.46552762442481,45.4255624539106,3.93337795756292
"5"," 10-2",3,0.562213561153096,4.40944737380112,43.5647211959459,3.90491147535836
"6"," 10-2",4,0.683235706758958,4.39305487473691,42.6066745721473,3.83309003693372
"7"," 10-2",5,0.644678878788055,4.72647235829581,45.0021144312076,3.61712085161389
"8"," 10-2",6,0.680714829721103,5.09267551193873,48.3398063967266,4.33925659215715
"9"," 10-2",7,0.610531395312201,4.95833322857909,47.6532150988207,3.87753441328319
"10"," 10-2",8,0.510142935868126,3.92179859515259,46.8754534615253,4.39159816979947
"11"," 10-2",9,0.667997030597537,4.26502479361339,45.3687553601216,3.85990431848747
"12"," 10-2",10,0.667488715034985,4.25772815931063,50.38453764603,3.93112453946123
"13"," 10-2a",5,0.498938967844709,4.86953992187467,46.4567908717886,3.35733484200256
"14"," 10-2a",6,0.602028780399622,4.52221316487019,44.4457183501409,3.9407099580799
"15"," 10-2a",7,0.799286469320557,4.12889528749392,42.7868294032192,4.08875566973811
"16"," 10-2a",8,0.845142813809862,4.52156350309468,45.08425722732,3.87178445610637
"17"," 10-2a",9,0.784069024206769,5.03205216774206,47.5781994505235,4.33583289719949
"18"," 10-2a",10,0.575141329723627,4.66809027486893,38.1313144711688,4.42266070843598
"19"," 10-2a",11,0.677157188121092,4.61734620493962,45.4012039380863,3.84229230834489
"20"," 10-3",1,0.598089928179328,4.67626530764539,44.0644734003834,3.77384871869165
"21"," 10-3",2,0.678315606121969,4.21734901501874,38.4969624757339,3.5170995781925
"22"," 10-3",3,0.747838417035433,4.05895161594494,34.6252714009442,3.69116319505829
"23"," 10-3",4,0.597954472288061,3.91330750199988,42.4224878354814,3.54684201070186
"24"," 10-3",5,0.478430975196376,3.84678626749295,40.2294694786442,3.7611016733436
"25"," 10-3",6,0.692337528464663,3.07592173570845,38.592737699245,4.28240217372729
"26"," 10-3",7,0.602029927998059,3.65750380923017,40.164580625753,4.04045903651766
"27"," 10-3",8,0.437338801156867,3.30090815524812,36.6666372423007,3.69893822334403
"28"," 10-3",9,0.485709054054468,3.63235292782084,40.8220254228363,3.62401536956537
"29"," 10-3",10,0.586115115099503,4.39174163526995,39.3795206655835,3.37561519862199
"30"," 10-3",11,0.751909453885929,3.09939999789439,39.4577899658328,3.20735389430813
"31"," 10-3a",4,0.595642731711663,3.73133932690253,42.2203876317888,3.45965788517421
"32"," 10-3a",5,0.56534612605917,4.23147947959453,39.3038483722753,3.76813540409107
"33"," 11-4",1,0.575580756927225,5.68298173687561,56.3815222027922,4.94347157883651
"34"," 11-4",2,0.540461169431589,5.09724808826056,54.0601244500224,5.16521765377049
"35"," 11-4",3,0.604694701526017,5.45850744178538,57.1222866112587,4.68293186833334
"36"," 11-4",4,0.492792262357971,4.91592015483618,55.9963524945405,4.91099264253603
"37"," 11-4",5,0.549139350396332,5.64824156575973,52.1270798004813,5.26612894149548
"38"," 11-4a",1,0.621306931222917,5.84555294199006,55.4988734814025,4.55542364244325
"39"," 11-4a",2,0.686416487785927,5.460968717878,57.2618187005064,4.85864607981097
"40"," 11-4a",3,0.638878879836179,4.82253982463583,51.436790096686,5.57786116041738
"41"," 11-4a",4,0.503358115627902,5.51770608661123,54.6614844296075,4.30951651625786
"42"," 11-4a",5,0.482577501221983,5.25304673664844,52.0355805983152,5.0513517154041
"43"," 11-4a",6,0.572747699449467,5.37297575244404,58.2360933692288,4.59353368313375
"44"," 11-4a",7,0.648898888046041,5.82818233489851,54.882461543528,5.13544501152217
"45"," 11-4a",8,0.627938556045783,5.30512152355109,55.2265821548194,5.46811377470866
"46"," 11-4a",9,0.62214598423702,5.6389349730302,57.8274400105842,4.88054528094219
"47"," 11-4a",10,0.621137870266358,5.20342256777164,53.8901881696677,4.72352375395097
"48"," 11-4a-1",3,0.691831409512112,5.32661129928545,52.5531948270893,5.12400439352132
"49"," 11-4a-1",4,0.615375337485595,5.15150378501652,54.5140600601524,5.27805967161969
"50"," 11-4a-1",5,0.47848335691844,5.39636734665051,51.109886408849,4.59989526655603
"51"," 11-4c",3,0.524557256085897,4.87057472104055,55.5328759422246,5.36181450756015
"52"," 11-4c",4,0.498961816360226,5.64888942235925,52.6862312579952,4.60131334034327
"53"," 11-4c",5,0.737905655109512,5.78631867453909,56.2279981922187,4.50272682291879
"54"," 11-4d",6,0.534790486974578,5.45196429412909,57.6636536606505,4.79369399776709
"55"," 11-4d",7,0.735233355861158,5.27049996349276,59.864013012873,4.77591004799539
"56"," 11-4d",8,0.572374312314851,5.5970598727139,54.6501920028547,5.11827633601581
"57"," 11-4d",9,0.530519923165948,5.26123916815711,55.0690555474543,5.19879345579198
"58"," 12-3",1,0.586960850079985,4.4729740257968,45.9139225142646,4.15553910607323
"59"," 12-3",2,0.594448435162243,5.09256896032819,44.751124160891,4.31482766352947
"60"," 12-3",3,0.568480511953699,4.65369866549576,45.3219189700177,4.17453706536677
"61"," 12-3",4,0.67075760416959,4.58491013399645,44.9226062012191,3.97742725277086
"62"," 12-3",5,0.488283277639309,4.29104992673008,47.9734062239552,3.95543291874669
"63"," 12-3",6,0.659163328835147,4.78520155018412,44.7450430920349,4.10730661997645
"64"," 12-3",7,0.64038912319753,5.10236901211789,48.8401322814656,4.48114272445141
"65"," 12-3",8,0.385867479943212,4.65475979609687,46.55690105742,4.45756708880659
"66"," 12-3",9,0.488911895174298,4.48801499635044,45.7020398829933,4.7260876017391
"67"," 12-3",10,0.664956464802026,4.40067334974368,46.0137419348856,4.49130333192497
"68"," 12-3",11,0.574589959735238,4.95329605883106,46.0058887068205,3.71000547466482
"69"," 12-3",12,0.542609946670449,4.80667556704435,46.4207229737399,4.13044351679828
"70"," 12-3",13,0.838610351961416,4.92729351331981,47.774741126633,4.14592182561361
"71"," 12-3",14,0.67941331595002,4.75834083211708,48.088149273694,4.37486730549156
"72"," 12-3",15,0.576380562218417,4.57571616434356,48.3674005922207,4.60670215915986
"73"," 12-3",16,0.743206952244424,5.49296912981611,45.3138883269549,3.85608801586376
"74"," 12-3",17,0.579623250968426,5.00118527275921,47.5632061548615,3.90714227409843
"75"," 12-3",18,0.805479984558605,4.25982774889166,48.189261582503,4.43288550841147
"76"," 12-3",19,0.696539261690074,5.03162742012082,46.7274670361009,3.90309539750527
"77"," 12-3",20,0.827119168836593,3.8429070802916,43.810880908342,4.43990584104329
"78"," 12-3a",1,0.518750790422894,4.80561234661787,54.3121177191396,4.36765621878778
"79"," 12-3a",2,0.448850550303058,4.81911233567462,43.7077740057729,4.03830245654861
"80"," 12-3a",3,0.44050424330531,5.13472917583458,46.896607592873,4.55711303578284
"81"," 12-3a",4,0.442186471770789,4.65090040894353,49.1795252440115,4.24073197499451
"82"," 12-3a",5,0.497286124280088,5.07673533600979,48.4580734193552,4.11391206147576
"83"," 12-3b",4,0.539888524497605,5.2223235550714,50.3154096283182,4.17493119244606
"84"," 12-3b",5,0.56915518428054,4.87771759657513,42.4910351606582,4.60420014018166
"85"," 12-3b",6,0.599178712284728,4.82744057020992,50.3179920110619,3.67085826218007
"86"," 12-3b",7,0.680408897264534,4.61003214809751,51.7596783642049,4.75972470150764
"87"," 12-3b",8,0.686191750617516,5.15264414873284,46.6210232540255,4.18734256546278
"88"," 12-3b",9,0.592482331540312,4.22434096430126,43.35455020111,4.15109899380144
"89"," 12-3b",10,0.558215426478205,4.10579175990118,47.9604664810331,4.47645957285117
"90"," 12-3b",11,0.623389229807639,4.47969875129869,45.4548818166936,4.22584448374657
"91"," 12-3b",12,0.524922401496476,3.92145976887308,45.0735401116147,4.62992407421899
"92"," 12-3b",13,0.814754082076802,5.27783044192757,48.026614237691,4.37071345226543
"93"," 12-3b",14,0.637273316385776,4.68468723076409,47.8198941623097,4.07488761154346
"94"," 12-3b",15,0.735897552689526,4.39948936684176,45.2348348331678,4.25580888929122
"95"," 12-3b-1",8,0.580276982043401,4.13782225789159,45.9843542054208,4.04665142748089
"96"," 12-3b-1",9,0.600390517583383,5.1219015392856,43.496883220438,4.32580297121033
"97"," 12-3b-1",10,0.508532136967516,4.85557274007775,48.2617783807736,4.5347077314094
"98"," 12-3b-1",11,0.65678370060494,4.78261145197892,46.1647744847297,4.36599170571916
"99"," 12-3c",10,0.683800651294858,4.87346363260022,52.4698353054606,3.99000561074331
"100"," 12-3c",11,0.571097292948884,4.73539558384365,49.0643093022891,3.79061875689197
"101"," 12-3c",12,0.744241233966622,5.11593943313464,46.8474446872898,4.26599374744801
"102"," 12-3c",13,0.564469455098924,4.75406139342614,41.6921929819503,4.48592274297469
"103"," 12-3c",14,0.660055015762228,4.34154889163013,44.5740791564463,4.72062022718367
"104"," 12-3c",15,0.731946987823052,4.89098314994419,50.2111453250114,4.2669670626282
"105"," 12-3c",16,0.584190260732601,4.96809978201393,47.9076284430791,3.912687957078
"106"," 12-3c",17,0.633757788080957,4.48337134336476,45.6898896284445,4.17238727783769
"107"," 12-3d",12,0.55152163987541,4.93360437376429,52.1639328033621,3.78614892669733
"108"," 12-3d",13,0.748972233023364,4.24914296183062,43.4586835306326,3.8646445398103
"109"," 12-3d",14,0.652382156550452,5.13693526991378,49.1988581394507,4.91639750554606
"110"," 12-3d",15,0.716305571020568,4.49559207368397,47.9581376777072,4.14216689062538
"111"," 12-3d",16,0.789434982538479,5.3706469394749,45.4907801812664,3.95472288468027
"112"," 12-3d",17,0.752697852424291,4.75666501732962,45.1520811749307,4.32746430295974
"113"," 12-4",1,0.642793275151825,8.44178361215046,85.1286855921861,7.65007209473506
"114"," 12-4",2,0.612117673774082,8.50036014714937,88.4684548352292,7.92762087642102
"115"," 12-4",3,0.626113360564505,8.26591689791088,90.8580502483336,8.16562440734422
"116"," 12-4",4,0.517684401359263,7.96916716351739,90.0743740210798,7.79198500090454
"117"," 12-4",5,0.579481370880118,8.42507469875398,88.0947526893196,8.27566642082087
"118"," 12-4",6,0.622392648427345,8.51258472195104,84.1282872028711,7.52181909379458
"119"," 12-4",7,0.602432536953961,7.73303591638595,89.5285665507406,7.81073238252176
"120"," 12-4",8,0.558158579400595,8.346771746036,85.5666316939002,7.99446172674743
