"","LATID","GATENUM","FLOWERROR","VOLTRUTH"
"1"," 10-1",1,1.27528542868614,27.5214688028028
"2"," 10-1",2,1.29291836888628,28.0678219796902
"3"," 10-2",1,1.30369883976299,27.9357717415409
"4"," 10-2",2,1.29221912774559,27.3924750913114
"5"," 10-2",3,1.35216279715136,27.728896805146
"6"," 10-2",4,1.39502589421955,27.4180270183598
"7"," 10-2",5,1.39076208455427,28.3652940946745
"8"," 10-2",6,1.45448629461973,29.4679064004285
"9"," 10-2",7,1.34148634794861,28.4238462696118
"10"," 10-2",8,1.43538664216633,28.0470968798351
"11"," 10-2",9,1.54980339568107,27.4066827683584
"12"," 10-2",10,1.61335009707717,28.8427831801726
"13"," 10-2a",5,1.39119457729373,28.2243940288229
"14"," 10-2a",6,1.40327485720232,28.3914478667733
"15"," 10-2a",7,1.53884825851359,28.1280537790575
"16"," 10-2a",8,1.46798863474179,30.3356289758225
"17"," 10-2a",9,1.5824492312284,28.0765733221644
"18"," 10-2a",10,1.54491948683522,28.6558831228335
"19"," 10-2a",11,1.68168753913737,28.7022547085647
"20"," 10-3",1,1.24291472766258,28.3858346879503
"21"," 10-3",2,1.2607269843775,28.2269432581205
"22"," 10-3",3,1.32806066415313,28.4403560302098
"23"," 10-3",4,1.37349723894764,29.4043386166831
"24"," 10-3",5,1.42336152378588,28.1823208837669
"25"," 10-3",6,1.40074322540504,27.6252381653695
"26"," 10-3",7,1.42108737730078,28.3829458725468
"27"," 10-3",8,1.55267341229734,27.8890904284024
"28"," 10-3",9,1.5139236948976,28.4757494811272
"29"," 10-3",10,1.60921703650132,29.0769436503003
"30"," 10-3",11,1.6438420128889,26.8242528609937
"31"," 10-3a",4,1.33158111452844,27.9453753449627
"32"," 10-3a",5,1.42359262137485,27.6608897435974
"33"," 11-4",1,1.28100063812201,28.7302232758468
"34"," 11-4",2,1.31042652181986,29.1312568088268
"35"," 11-4",3,1.28764133353528,28.1844215496352
"36"," 11-4",4,1.40085536715007,29.99577190934
"37"," 11-4",5,1.34579676269237,28.0643777050037
"38"," 11-4a",1,1.29654474845407,26.5954271450344
"39"," 11-4a",2,1.33396949695815,27.4302237711447
"40"," 11-4a",3,1.30986806406106,28.2393349504696
"41"," 11-4a",4,1.40866663378744,27.8287287024988
"42"," 11-4a",5,1.35895904259884,28.3507571250906
"43"," 11-4a",6,1.48218684222847,28.9069203050947
"44"," 11-4a",7,1.42050318149802,27.1996508237271
"45"," 11-4a",8,1.46070515596242,28.8969647640651
"46"," 11-4a",9,1.58179528384969,27.4741487819657
"47"," 11-4a",10,1.5535449000765,26.7464995242675
"48"," 11-4a-1",3,1.28422820387671,27.8933029647233
"49"," 11-4a-1",4,1.33811988437035,28.9456673501598
"50"," 11-4a-1",5,1.42198402891842,28.5745651444561
"51"," 11-4c",3,1.34924303075459,28.0171040679203
"52"," 11-4c",4,1.37676858952421,28.3465463765235
"53"," 11-4c",5,1.3479410609338,28.2390300829677
"54"," 11-4d",6,1.51317644613935,28.4193794296458
"55"," 11-4d",7,1.46435801327408,28.1805729644033
"56"," 11-4d",8,1.53783367875528,28.8529904475731
"57"," 11-4d",9,1.55704700697647,28.1197358107755
"58"," 12-3",1,1.25580878636228,28.7279800114739
"59"," 12-3",2,1.2761143436567,27.9567216440144
"60"," 12-3",3,1.33818726125052,28.3166465301073
"61"," 12-3",4,1.38376421532651,27.6304054425316
"62"," 12-3",5,1.34345970676686,26.9194982485567
"63"," 12-3",6,1.42451152701854,29.8880712310383
"64"," 12-3",7,1.52773240755856,28.187741958148
"65"," 12-3",8,1.45624634349488,28.5887090074026
"66"," 12-3",9,1.53465280605432,28.7004386931214
"67"," 12-3",10,1.70548466732613,29.5079607596135
"68"," 12-3",11,1.61480162133644,28.4915394833178
"69"," 12-3",12,1.70387810793311,27.5760878024717
"70"," 12-3",13,1.70582511723091,28.6224694169706
"71"," 12-3",14,1.742691180376,28.4141744121657
"72"," 12-3",15,1.79893185890524,29.2573996215326
"73"," 12-3",16,1.96228082611921,28.9804405811802
"74"," 12-3",17,1.88137942027523,28.5368890956048
"75"," 12-3",18,1.98677124078874,28.7080027855764
"76"," 12-3",19,2.10490323497576,28.0907490685707
"77"," 12-3",20,2.08417348577942,29.5277085772693
"78"," 12-3a",1,1.28420297384713,29.0700336846744
"79"," 12-3a",2,1.31188889538473,28.2361287085944
"80"," 12-3a",3,1.29782913620706,27.8077613041687
"81"," 12-3a",4,1.3260805554129,28.8207540734372
"82"," 12-3a",5,1.44293580056086,27.7471090786798
"83"," 12-3b",4,1.35009278109454,27.5285456079183
"84"," 12-3b",5,1.37649243904401,27.6703193834289
"85"," 12-3b",6,1.44962716998452,28.2599303591572
"86"," 12-3b",7,1.5074743213152,28.7238282390725
"87"," 12-3b",8,1.52656527458432,28.4667961861735
"88"," 12-3b",9,1.53267659016001,28.8878885734843
"89"," 12-3b",10,1.55317625227216,27.4420621765025
"90"," 12-3b",11,1.69459827224346,27.6079772364813
"91"," 12-3b",12,1.75076852103174,27.7704661319949
"92"," 12-3b",13,1.7767443473599,27.455538068634
"93"," 12-3b",14,1.83906280868045,28.138895963684
"94"," 12-3b",15,1.79664187599987,29.6021318782099
