"","LATID","GATENUM","FLOWERROR","VOLTRUTH"
"1"," 10-1",1,0.767217347899734,28.029392711884
"2"," 10-1",2,0.77676332739724,28.930259122781
"3"," 10-2",1,0.812345101621989,28.7147590451436
"4"," 10-2",2,0.764033604977451,28.1274468961167
"5"," 10-2",3,0.781928355466486,28.9557024584982
"6"," 10-2",4,0.776333748949401,28.7522958782882
"7"," 10-2",5,0.778598233355976,27.433135144723
"8"," 10-2",6,0.8022015992562,28.3996488864675
"9"," 10-2",7,0.813143532904742,28.3502393883613
"10"," 10-2",8,0.775120726472967,28.0713870838333
"11"," 10-2",9,0.793822778191592,29.094837833697
"12"," 10-2",10,0.809394723359383,28.3771270314648
"13"," 10-2a",5,0.764690929175547,27.8377123138963
"14"," 10-2a",6,0.781443359892293,28.9016745952753
"15"," 10-2a",7,0.796423612078881,28.0942180540811
"16"," 10-2a",8,0.774698771354316,30.1359434743126
"17"," 10-2a",9,0.793513850212199,28.0014393461789
"18"," 10-2a",10,0.836186701975294,28.0224726870143
"19"," 10-2a",11,0.818822196595664,28.0596884690135
"20"," 10-3",1,0.782536207720523,28.0791847377871
"21"," 10-3",2,0.755153189104274,28.8094655582861
"22"," 10-3",3,0.760827690025814,28.8767710368658
"23"," 10-3",4,0.793701163611353,29.0153262272739
"24"," 10-3",5,0.752465860656823,28.1824362279841
"25"," 10-3",6,0.77208253769877,28.1943010398237
"26"," 10-3",7,0.790449954533281,28.7107843375687
"27"," 10-3",8,0.782227795177426,28.8633431871886
"28"," 10-3",9,0.790656603582131,28.6132816097324
"29"," 10-3",10,0.781325279884152,27.4834190630395
"30"," 10-3",11,0.805286325945585,27.2523841472186
"31"," 10-3a",4,0.761622958130532,28.4754787816157
"32"," 10-3a",5,0.754705159057256,27.4703156531059
"33"," 11-4",1,0.749616479711285,27.6121647852828
"34"," 11-4",2,0.775793429554954,29.5021178419379
"35"," 11-4",3,0.777588095824533,29.4885984772569
"36"," 11-4",4,0.756435134110408,28.6747136424781
"37"," 11-4",5,0.771181027675669,28.732888445382
"38"," 11-4a",1,0.766187869426508,27.578054798739
"39"," 11-4a",2,0.747796601266241,30.2708420389174
"40"," 11-4a",3,0.755671804495632,27.4994018417555
"41"," 11-4a",4,0.72692473331678,27.4099863276272
"42"," 11-4a",5,0.778776209437175,28.075215905142
"43"," 11-4a",6,0.800709232404341,28.0375581350368
"44"," 11-4a",7,0.817062800143391,28.7750288277009
"45"," 11-4a",8,0.818134460376253,27.2858438903625
"46"," 11-4a",9,0.817216615152968,27.8537660346719
"47"," 11-4a",10,0.786197855842276,27.5386502808062
"48"," 11-4a-1",3,0.777119254601398,27.7724294822861
"49"," 11-4a-1",4,0.745862780625619,28.3502416399642
"50"," 11-4a-1",5,0.794095746063452,28.615476502929
"51"," 11-4c",3,0.748531169732542,29.0697162187463
