H,0.166666667,0.208333333,0.25,0.291666667,0.333333333,0.375,0.416666667,0.458333333,0.5,0.583333333,0.666666667,0.75,0.833333333,0.916666667,1,1.083333333,1.166666667,1.25,1.333333333,1.5,1.666666667,1.833333333,2,2.166666667,2.333333333,2.5,2.666666667,2.833333333,3
0.08,0.96,1.22,1.47,1.71,1.94,2.16,2.41,2.61,2.82,3.24,3.67,4.05,4.42,4.77,5.10,5.47,5.83,6.13,6.50,7.12,7.86,8.43,8.92,9.37,9.84,10.10,10.35,10.56,10.74
0.10,1.07,1.35,1.62,1.89,2.15,2.41,2.69,2.90,3.12,3.59,4.07,4.50,4.91,5.31,5.67,6.10,6.49,6.82,7.22,7.87,8.67,9.90,9.88,10.38,10.89,11.20,11.50,11.74,11.92
0.13,1.17,1.47,1.77,2.06,2.34,2.63,2.94,3.16,3.40,3.92,4.43,4.93,5.36,5.79,6.20,6.68,7.08,7.44,7.89,8.59,9.44,10.14,10.81,11.33,11.86,12.24,12.57,12.84,13.02
0.15,1.26,1.59,1.92,2.22,2.53,2.84,3.18,3.42,3.67,4.24,4.77,5.32,5.79,6.25,6.70,7.20,7.63,8.04,8.52,9.28,10.17,10.95,11.65,12.25,12.80,13.24,13.60,13.91,14.09
0.17,1.34,1.70,2.05,2.36,2.69,3.04,3.39,3.66,3.92,4.53,5.08,5.68,6.18,6.66,7.17,7.67,8.13,8.60,9.10,9.95,10.87,11.71,12.43,13.09,13.67,14.16,14.54,14.87,15.05
0.19,1.42,1.80,2.17,2.50,2.85,3.21,3.58,3.87,4.14,4.79,5.38,6.00,6.52,7.04,7.61,8.12,8.62,9.12,9.65,10.57,11.52,12.42,13.18,13.86,14.47,15.00,15.39,15.74,15.95
0.21,1.50,1.89,2.28,2.63,3.00,3.37,3.76,4.07,4.35,5.04,5.65,6.30,6.85,7.42,8.02,8.56,9.09,9.61,10.18,11.13,12.16,13.10,13.88,14.60,15.21,15.76,16.17,16.54,16.78
0.23,1.57,1.98,2.39,2.76,3.14,3.52,3.93,4.26,4.55,5.28,5.91,6.60,7.18,7.79,8.42,8.98,9.54,10.07,10.68,11.68,12.76,13.73,14.55,15.31,15.93,16.50,16.94,17.34,17.60
0.25,1.63,2.06,2.49,2.88,3.28,3.67,4.10,4.45,4.75,5.50,6.17,6.89,7.50,8.13,8.79,9.37,9.95,10.52,11.15,12.20,13.31,14.35,15.20,16.00,16.64,17.23,17.68,18.10,18.38
0.27,1.69,2.14,2.59,3.00,3.41,3.82,4.27,4.63,4.95,5.72,6.42,7.17,7.81,8.46,9.15,9.76,10.35,10.96,11.60,12.70,13.86,14.95,15.83,16.66,17.33,17.94,18.40,18.85,19.14
0.29,1.75,2.21,2.68,3.11,3.53,3.95,4.42,4.79,5.13,5.93,6.66,7.44,8.10,8.78,9.49,10.12,10.74,11.37,12.04,13.18,14.37,15.50,16.42,17.28,17.98,18.61,19.08,19.54,19.85
0.31,1.81,2.28,2.76,3.22,3.65,4.08,4.56,4.95,5.31,6.14,6.90,7.70,8.39,9.09,9.82,10.48,11.11,11.77,12.46,13.63,14.89,16.04,16.99,17.89,18.60,19.27,19.74,20.23,20.55
0.33,1.86,2.35,2.84,3.31,3.76,4.20,4.68,5.11,5.49,6.34,7.13,7.95,8.66,9.38,10.14,10.83,11.48,12.15,12.87,14.08,15.37,16.56,17.55,18.46,19.20,19.90,20.40,20.89,21.25
0.35,1.91,2.42,2.92,3.40,3.86,4.32,4.81,5.27,5.66,6.54,7.35,8.20,8.93,9.67,10.45,11.16,11.83,12.52,13.27,14.51,15.84,17.08,18.10,19.03,19.80,20.50,21.05,21.53,21.90
0.38,1.96,2.49,3.00,3.49,3.96,4.44,4.94,5.42,5.82,6.73,7.56,8.44,9.19,9.95,10.76,11.49,12.18,12.89,13.66,14.94,16.31,17.57,18.61,19.60,20.38,21.10,21.65,22.17,22.55
0.40,2.01,2.56,3.08,3.58,4.06,4.56,5.07,5.57,5.98,6.92,7.77,8.67,9.45,10.22,11.06,11.80,12.52,13.25,14.04,15.35,16.76,18.05,19.13,20.15,20.95,21.68,22.25,22.80,23.20
0.42,2.06,2.62,3.16,3.67,4.16,4.68,5.19,5.72,6.14,7.10,7.97,8.89,9.70,10.49,11.34,12.10,12.85,13.60,14.40,15.75,17.20,18.53,19.64,20.65,21.50,22.25,22.80,23.40,23.80
0.46,2.16,2.74,3.31,3.84,4.36,4.90,5.43,6.00,6.43,7.44,8.36,9.33,10.17,11.00,11.90,12.70,13.47,14.25,15.10,16.52,18.03,19.43,20.60,21.65,22.55,23.35,23.90,24.50,24.90
0.50,2.26,2.86,3.45,4.00,4.55,5.11,5.67,6.26,6.71,7.77,8.73,9.73,10.61,11.50,12.42,13.26,14.07,14.88,15.77,17.25,18.82,20.28,21.50,22.62,23.55,24.39,24.95,25.60,26.00
0.54,2.35,2.98,3.59,4.16,4.72,5.32,5.91,6.52,6.99,8.09,9.09,10.13,11.04,11.97,12.93,13.80,14.64,15.50,16.41,17.97,19.60,21.13,22.40,23.65,24.50,25.39,26.60,26.65,27.10
0.58,2.44,3.09,3.72,4.31,4.89,5.52,6.14,6.76,7.25,8.39,9.43,10.51,11.46,12.41,13.42,14.32,15.20,16.09,17.03,18.64,20.35,21.94,23.25,24.44,25.43,26.33,27.00,27.67,28.15
