"H","G","FLOW","LOGFLOW","NGATE","MODEL1","MODEL2","MODEL3","MODEL4","MODEL5","MODEL6","MODEL7","MODEL8"
0.08,1,0.96,-0.0408219945202552,1,-0.0522880570037734,-0.220831753864329,-0.0420023779833556,-0.842070172425921,-0.062234615132573,-0.412825121610783,-0.259671449489896,-0.833246104396456
0.1,1,1.07,0.0676586484738149,1,0.0568696397732502,-0.110253639165436,0.0654169287167254,-0.528192440336066,0.0476839289849305,-0.136870412347116,-0.149752905379804,-0.759630320185924
0.13,1,1.17,0.157003748809665,1,0.185213383776599,0.0197601817956068,0.191716735392698,-0.159146147815067,0.176922250275776,0.187587336469269,-0.0205145840976712,-0.673075494990024
0.15,1,1.26,0.231111720963387,1,0.255215668882609,0.0906733738121897,0.260604199635089,0.0421420722457166,0.24741246297666,0.364555711623621,0.0499756285984604,-0.625866060687514
0.17,1,1.34,0.29266961396282,1,0.316443162689922,0.152697592285586,0.320856615451446,0.21819879994529,0.309066722620951,0.519341088664449,0.111629888238594,-0.584574332252845
0.19,1,1.42,0.350656871613169,1,0.370852685527075,0.207815120729673,0.374399639842919,0.374650778472297,0.363855488901027,0.656890382017271,0.166418654514976,-0.547880633041147
0.21,1,1.5,0.405465108108164,1,0.419811661743132,0.257411177145359,0.422578920252411,0.515429971088714,0.413155717341586,0.780660491193783,0.215718882952211,-0.514862774157114
0.23,1,1.57,0.451075619360217,1,0.464313372512557,0.302491967809259,0.466371919362534,0.643392510266858,0.457967612452431,0.893162467872512,0.260530778060035,-0.484850888291718
0.25,1,1.63,0.488580014818671,1,0.505102112907447,0.343811472956229,0.506511078979824,0.760678580859774,0.499040657166369,0.99627791762312,0.301603822771204,-0.457343023983594
0.27,1,1.69,0.524728528934982,1,0.542750030324304,0.381949285068548,0.543559434771735,0.86893336531943,0.536950986842617,1.09145325030143,0.339514152444896,-0.431953325901227
0.29,1,1.75,0.559615787935423,1,0.577706433394988,0.417360559420614,0.577959139908897,0.969448829109926,0.572151041869089,1.17982433480662,0.374714207468994,-0.40837878098861
