"NGATE","NMODEL","COEF_A","COEF_B","COEF_C","COEF_D","COEF_E","COEF_FF","ME","MAE","MSE","RMSE","NRMSE","PBIAS","RSR","rSD","NSE","mNSE","rNSE","d","md","rd","cp","r","R2","bR2","KGE","VE"
1,1,0.0227362159871552,0.627492132286571,2.61474521478026,5.9395808395617e-05,-0.00100376365828052,0.490125866190914,0,0.03,0,0.03,3.9,0,0.04,1,1,0.96,1,1,0.98,1,0.98,1,1,1,1,0.99
1,2,NA,1.08156265604837,1.72170418997311,-0.0005292171680514,0.0109024310585997,0.485173773901125,0,0.07,0.01,0.08,10.5,0,0.1,0.97,0.99,0.9,0.75,1,0.95,0.94,0.86,0.99,0.99,0.99,0.97,0.97
1,3,0.0223249675462611,0.638327626741862,2.57380344787458,NA,0.000800009484959616,0.480591032592807,0,0.03,0,0.03,4,0,0.04,1,1,0.96,1,1,0.98,1,0.98,1,1,1,1,0.99
1,4,NA,NA,15.0392756993139,0.00134880155611642,-0.0936124618532557,1.49888164339037,0,0.36,0.25,0.5,61.5,0,0.61,0.79,0.62,0.47,-3.76,0.87,0.69,-0.59,-3.81,0.79,0.62,0.6,0.7,0.85
1,5,0.0216026411569909,0.647447297801152,2.5915689653082,NA,NA,0.492591174919173,0,0.03,0,0.03,4,0,0.04,1,1,0.96,0.99,1,0.98,1,0.98,1,1,1,1,0.99
1,6,NA,NA,15.0392756987802,NA,-0.0531484150766379,1.28981740075166,0,0.38,0.26,0.51,62.6,0,0.63,0.78,0.61,0.44,-0.69,0.87,0.68,0.43,-3.99,0.78,0.61,0.58,0.69,0.84
1,7,NA,1.09716341566932,1.57925687935213,NA,NA,0.492591174885961,0,0.09,0.01,0.1,12.7,0,0.13,0.96,0.98,0.87,0.63,1,0.93,0.9,0.79,0.99,0.99,0.98,0.96,0.96
1,8,NA,NA,NA,NA,NA,0.329903256343147,-0.12,0.19,0.08,0.28,34.1,-5.3,0.34,1.08,0.88,0.72,-4.34,0.97,0.86,-0.26,-0.48,0.96,0.92,0.88,0.9,0.92
2,1,0.0227362159871552,0.627492132286571,2.61474521478026,5.9395808395617e-05,-0.00100376365828052,0.490125866190914,0,0.03,0,0.03,3.9,0,0.04,1,1,0.96,1,1,0.98,1,0.98,1,1,1,1,0.99
2,2,NA,1.08156265604837,1.72170418997311,-0.0005292171680514,0.0109024310585997,0.485173773901125,0,0.07,0.01,0.08,10.5,0,0.1,0.97,0.99,0.9,0.75,1,0.95,0.94,0.86,0.99,0.99,0.99,0.97,0.97
